poet_id,poet_name
567,حسن إبراهيم الحسن
568,ناصر ثابت
569,ياسين الزكري
570,ماجد البلداوي
571,عبيد السلامي
574,كليب بن ربيعة
575,سعد الحميدين
576,صدقي شعباني
577,طلعت شاهين
578,صابر عبد الدايم يونس
579,عادل البعيني
580,محمد عريقات
581,محمد العلي
582,عبدالله الصيخان
583,يحيى توفيق حسن
584,فوزية أبوخالد
585,حسين علي محمد حسين
586,نجيب الكيلاني
587,عمر سليمان
588,جوزف أبي ضاهر
589,سعد الياسري
590,إبراهيم طيار
591,نائل الحريري
592,عبد القادر رابحي
593,أمين دمق
594,سامر رضوان
595,حلمي الزواتي
596,عبد الصمد الحكمي
597,عبد الرزاق الدرباس
598,خالد أبو حمدية
599,سامي العامري
600,عبد الرحمن فخري
601,زينب حبش
602,محمد طالب الأسدي
603,إياد عاطف حياتله
604,محمد أبو العلا
605,غيث القرشي
606,محمد الأمين سعيدي
607,إبراهيم حسين زولي
608,عماد علي قطري
609,حسن البحيري
610,يوسف الخطيب
611,عبد الخالق كيطان
612,محمد البغدادي
613,أحمد اللهيب
614,راضي صدوق
615,نبيلة الخطيب
616,عارف الخاجة
617,عبد السلام بركات زريق
618,محمد نجيب المراد
619,فيصل أحمد حجاج
620,تمام التلاوي
621,صالح سعيد الهنيدي
622,سلمان فراج
623,محمود بن سعود الحليبي
624,فوزي معلوف
625,صباح الحكيم
626,محمد الأسعد
627,محمود فرغلي
628,سعيد محمد بادويس
629,عادل خميس
630,عبدالسلام نعمان السامعي
631,حمد بن خليفة أبو شهاب
632,جميل أبو صبيح
633,لطفي زغلول
634,جميل الحبيب
635,فكري ناموس
636,علي الضميان
637,علي فريد
638,أمين الربيع
639,مها العتيبي
640,مانع سعيد العتيبة
641,أبد الصغير العلوي
642,إبراهيم أطيمش
643,إبراهيم الأسطى
644,أمل طنانة
645,ابراهيم الأسود
646,مصعب تقي الدين
647,نواف بن حسن الحارثي
649,صباح حسني
650,إبراهيم الحكيم الحلبي
651,إبراهيم الدَّبَّاغ
652,إبراهيم بن عبد القادر الرِّيَاحي
653,حسن المرواني
654,عمر غراب
655,صلاح الدين الغزال
656,عقيل بن درويش اللواتي
657,إبراهيم العاملي
658,إبراهيم المنذر
659,إبراهيم مرزوق
660,عبدالحميد القائد
661,أبو بكر الخوارزمي
662,إبراهيم خيكي
663,أبو الأسود الدؤلي
664,إبراهيم بن قيس
665,شوقي بزيع
666,حمزة شحاته
667,محمد بن حسين الشرفي
668,عبدالوهاب عزاوي
669,نسرين الهاشمي
670,إبراهيم بن محمد الخليفة
671,إبراهيم بن المهدي
672,أبو الأسد
673,أَبو الحسن المُنَجّم
674,مجذوب العيد المشراوي
675,محمود قحطان
676,أبزون العماني
677,علي بن سعود آل ثاني
678,أبو الوليد الحميري
679,أبو الفضل الدرامي
680,أبو الفرج الأصبهاني
681,أبو الحسين النوري
682,فايز خضور
683,سالم بن رزيق بن عوض
684,هدى السعدي
685,محمد ياسين
686,أسامة علي
687,وائل أبو عرفة
688,عمر إدلبي
690,محمد مأمون نجم
691,سمر علوش
692,عبد الكريم العامري
693,أبو الحسن الجرجاني
694,أبو الهندي
695,أغيد عليا
696,عامر الصالح
697,الصوارمي خالد سعد
698,شادي حلاق
699,محمد قرنه
700,لقمان ديركي
702,محمد سيد عمار
703,عمارة بن صالح عبدالمالك
704,محمد حسن أبو المحاسن
705,حكمت حسن جمعة
706,سلمى عمارة
707,فريد عبدالله النمر
708,فتوح مصطفى قهوة
709,علي محمود خضير
710,كامل الشناوي
711,صالح الشاعر
712,مجدي بن عيسى
713,حمد محمود الدوخي
714,عبد الإله زمراوي
715,فتحي سعيد
716,حسن عباس صبحي
717,طارق الكرمي
718,محمد علي اليوسفي
719,رياض بن يوسف
720,حامد أبوطلعة
722,رياض بوحجيلة
723,عمر محمود عناز
724,شاهر إبراهيم ذيب
725,عبدالواسع السقاف
726,محمد عبدالرحمن المقرن
728,أحمد الصافي النجفي
729,محمد إبراهيم يعقوب
730,هيفاء عبد الرحمن الجبري
731,سعود سليمان اليوسف
732,دخيل الخليفة
733,أسامة عبد الرحمن
734,حيدر العبدالله
735,حسن المطروشي
736,خالد الحسن
737,فلاح محمد كنه
739,عبدالوهاب إسماعيل
740,عادل الياسري
741,زين العزيز
742,خالد مصباح مظلوم
743,أنور سلمان
744,خالد الحلّي
745,فاطمة محمد القرني
746,محمد عبدالرحمن شحاتة
747,جمال بن عمار
748,سامي مهنا
749,محمد عبد الباري
750,المعتمد بن عباد
751,علي محمد الأمير
752,علي طه النوباني
753,أسامة غالي
755,عز الدين اليوسف
